"";"diff_pop";"ratio_prot";"Disponibilité alimentaire (kcal/habitant)";"Disponibilité de protéines en quantité (g/habitant)";"diff_import";"PIB";"Poulets"
"G 1";9,71461471162066e-05;0,289464737870129;905040,3125;23066,5171875;356,137190114452;6165,8609375;77389,015625
"G 2";0,000111346223741267;0,51791357556424;1150667,71428571;34791,07;133,695151125328;28606,4557142857;74540,8285714286
"G 3";0,00266373510708514;0,474591419442956;946262,5;24872,925;77,2213261972236;10329,3375;543,75
"G 4";2,88777928924037e-05;0,288292387018502;909580;24068,1;198683,333333333;4159,3;13200
"G 5";1,3428389194982e-06;0,323529411764706;1051930;24571,8;0;11371,5;3700618
