Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","23","Belize","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","3","*","Chiffre non officiel"
"TP","Cultures et produits animaux","23","Belize","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","15","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","125294","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","75324","","Donnée officielle"
"TP","Cultures et produits animaux","18","Bhoutan","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","401","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","18","Bhoutan","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1482","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","19","Bolivie (État plurinational de)","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1790","","Donnée officielle"
"TP","Cultures et produits animaux","19","Bolivie (État plurinational de)","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","292","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","10811","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","8600","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1295","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","2584","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","4038","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","3396","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1141","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1328","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","84872","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","96874","","Donnée officielle"
"TP","Cultures et produits animaux","233","Burkina Faso","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","36","","Donnée officielle"
"TP","Cultures et produits animaux","233","Burkina Faso","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","63","","Donnée officielle"
"TP","Cultures et produits animaux","29","Burundi","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1","","Donnée officielle"
"TP","Cultures et produits animaux","29","Burundi","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","35","Cabo Verde","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","8134","","Donnée officielle"
"TP","Cultures et produits animaux","35","Cabo Verde","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","11803","","Donnée officielle"
"TP","Cultures et produits animaux","115","Cambodge","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","6","","Donnée officielle"
"TP","Cultures et produits animaux","115","Cambodge","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","11927","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","32","Cameroun","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","112","","Donnée officielle"
"TP","Cultures et produits animaux","32","Cameroun","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1352","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","33","Canada","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","176282","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","33","Canada","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","138100","","Donnée officielle"
"TP","Cultures et produits animaux","40","Chili","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","100681","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","40","Chili","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","138728","","Donnée officielle"
"TP","Cultures et produits animaux","351","Chine","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1278612","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","351","Chine","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1409816","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","689391","","Donnée officielle"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","672694","","Donnée officielle"
"TP","Cultures et produits animaux","128","Chine - RAS de Macao","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","15100","","Donnée officielle"
"TP","Cultures et produits animaux","128","Chine - RAS de Macao","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","20722","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","41","Chine, continentale","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","394275","","Donnée officielle"
"TP","Cultures et produits animaux","41","Chine, continentale","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","502221","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","179846","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","214179","","Donnée officielle"
"TP","Cultures et produits animaux","50","Chypre","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","9125","","Donnée officielle"
